,,,,,,,,,,
,Consumer prices of petroleum products net of duties and taxes,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
AT,,,,,,,,,,
,,,,,,,,,,
,Date,"ExchangeRateTo €",Euro-super 95  (I), Gas oil automobile Automotive gas oil Dieselkraftstoff (I), Gas oil de chauffage Heating gas oil Heizöl (II), Fuel oil - Schweres Heizöl (III) Soufre <= 1% Sulphur <= 1% Schwefel <= 1%,,,,
,,,1000L,1000L,1000L,t,,,,
,13/11/23,1.00000,753.86,928.78,855.17,606.28,,,,
,06/11/23,1.00000,769.69,958.78,893.26,631.28,,,,
,30/10/23,1.00000,770.53,957.12,901.59,644.28,,,,
,23/10/23,1.00000,783.86,967.12,914.94,644.28,,,,
,16/10/23,1.00000,794.69,971.28,910.89,644.28,,,,
,09/10/23,1.00000,822.19,990.45,897.4,644.28,,,,
,02/10/23,1.00000,846.36,"1,006.28",936.62,644.28,,,,
,25/09/23,1.00000,863.03,"1,007.95",926.39,644.28,,,,
,18/09/23,1.00000,868.03,"1,009.62",922.5,644.28,,,,
,11/09/23,1.00000,852.19,967.12,894.04,613.28,,,,
,04/09/23,1.00000,849.69,941.28,862.08,613.28,,,,
,28/08/23,1.00000,845.53,935.45,859.39,613.28,,,,
,21/08/23,1.00000,833.86,922.95,852.06,619.28,,,,
,14/08/23,1.00000,829.69,922.12,857.27,636.28,,,,
,07/08/23,1.00000,811.36,897.12,820.41,618.28,,,,
,31/07/23,1.00000,793.03,853.78,778.75,563.28,,,,
,24/07/23,1.00000,759.69,811.28,730.86,563.28,,,,
,17/07/23,1.00000,755.53,812.12,725.51,563.28,,,,
,10/07/23,1.00000,733.86,788.78,716.55,563.28,,,,
,03/07/23,1.00000,740.53,780.45,711.32,551.28,,,,
,26/06/23,1.00000,751.08,788.57,713.11,553.02,,,,
,19/06/23,1.00000,746.08,770.24,716.21,547.02,,,,
,12/06/23,1.00000,756.08,768.57,711.97,547.02,,,,
,05/06/23,1.00000,742.74,752.74,703.15,547.02,,,,
,29/05/23,1.00000,744.41,762.74,703.26,547.02,,,,
,22/05/23,1.00000,728.58,753.57,706.16,536.02,,,,
,15/05/23,1.00000,732.74,756.9,705.31,536.02,,,,
,08/05/23,1.00000,732.74,760.24,707.41,536.02,,,,
,01/05/23,1.00000,754.41,791.9,733.9,568.02,,,,
,24/04/23,1.00000,772.74,820.24,753.93,579.02,,,,
,17/04/23,1.00000,783.58,830.24,777.31,589.02,,,,
,10/04/23,1.00000,789.41,851.07,783.73,584.02,,,,
,03/04/23,1.00000,750.24,834.4,776.74,564.02,,,,
,27/03/23,1.00000,734.41,846.9,784.21,549.02,,,,
,20/03/23,1.00000,739.41,858.57,788.48,570.02,,,,
,13/03/23,1.00000,763.58,885.24,818.66,613.02,,,,
,06/03/23,1.00000,761.91,900.24,833.75,603.02,,,,
,27/02/23,1.00000,754.41,884.4,826.56,591.02,,,,
,20/02/23,1.00000,759.41,904.4,838.26,614.02,,,,
,13/02/23,1.00000,748.58,915.24,852.2,597.02,,,,
,06/02/23,1.00000,756.08,948.57,874.42,621.02,,,,
,30/01/23,1.00000,776.91,996.07,918.77,629.02,,,,
